朝阳公园酒仙桥南十里居小三居室，低楼层，仅有契税,342万,单价53944元/平米
八角北路，中间层，南北双通透，三居室，房本满五年,340万,单价49737元/平米
南北通透  全明格局  诚心出售,329万,单价53549元/平米
诚意签约 接受周期 双储物间 双卫,1448万,单价100850元/平米
华亭嘉园精装两居室，高楼层可观景,950万,单价65977元/平米
中间层  商品房 接受换房 看房随时,449万,单价36196元/平米
国际花园3号院 南北通透全明三居 随时签约,336万,单价38022元/平米
金谷园 3室1厅 845万,845万,单价86472元/平米
公主坟翠微社区 双南向两居 满五年公房 近地铁,495万,单价93928元/平米
东三环双井，双卫两居室，看花园视野好,748万,单价67736元/平米
此房满二年商品房，自住，保持的很好，随时签约。,560万,单价47749元/平米
精装景观3居室 0个税 拎包入住,580万,单价35805元/平米
梧桐苑知秋园 西南北通透 全明精装大二居业主诚意出售,465万,单价44396元/平米
和平里1997年钢混楼 大2居带客厅 带25平米露台,660万,单价79865元/平米
东方太阳城 2室2厅 360万,360万,单价34228元/平米
金融街 南北四居室 精装修 看房方便,3650万,单价190204元/平米
满五年两居室，距离地铁十号线劲松站约100米,316万,单价56439元/平米
凌云居 西南大三居 中高楼层 随时看房,900万,单价76622元/平米
东直门 东城区 70产权住宅 两居室,1270万,单价73407元/平米
此房满五年，小区中间位置，楼层高视野好。,715万,单价53975元/平米
欧陆经典 南北三居 全明格局 精装修 人车分流,1250万,单价70814元/平米
精装修复式两居室 动静分离，中间楼层 ， 双卫生间,428万,单价51313元/平米
满两年精装修西南向两居室 2003年建成 高楼层 视野好,398万,单价43398元/平米
3.6米层高 大面宽落地窗 南北通透“元宝”3居,1570万,单价84441元/平米
精装修 南北通透 满五年 远离高铁,660万,单价54205元/平米
劲松九区  1988年建成   低楼层  东西通透   精装修,415万,单价59989元/平米
北四环 亚奥人家，电梯大三居，业主诚售 看房有钥匙,940万,单价60587元/平米
东方太阳城 万晴园精装顶层复式 带电梯！带露台!,500万,单价32380元/平米
弘善家园 3室1厅 472万,472万,单价52862元/平米
广安门外大街 2室1厅 740万,740万,单价106752元/平米
马家堡商圈 南北通透 板楼两居室 交通便利,285万,单价50354元/平米
红狮家园 南北通透两居室 中间层,510万,单价57041元/平米
新居里，商品房两居，满五唯一，南北通透,320万,单价36204元/平米
金福苑小区南北通透低楼层两居室,375万,单价47188元/平米
DBC加州小镇 1室1厅 325万,325万,单价57108元/平米
香悦四季东区  精装三居室 满五年唯一,505万,单价43952元/平米
亦庄带电梯4居！中间楼层！方正户型！不临街！,850万,单价52460元/平米
4号线海淀黄庄，五年唯一，南北通透，公房性质,645万,单价105221元/平米
首开智慧社 高楼层 商品房满五年唯一 精装修,519万,单价57866元/平米
"天通苑本三商品房满五年唯一,双卧朝南",387万,单价45870元/平米
一层带院 板楼南北通透 两卫生间带窗 满五年随时签约,738万,单价53483元/平米
满五年唯一，业主诚意出售，业主信任随时可看本房。,840万,单价63661元/平米
眼镜户型 南北双通透 满5年 视野好,649万,单价46464元/平米
西直门枫蓝国际 南向两居 满5年业主家庭唯一,919万,单价94988元/平米
本房满五年唯一，小区静谧，诚心出售,1460万,单价93125元/平米
依翠园干休所，环境好，物业好，人文素质高。满五唯一,470万,单价57339元/平米
南北通透 中间楼层 采光充足 满五年唯一公房,568万,单价89959元/平米
70年住宅 雅世合金公寓南北3居带阁楼 品质小区,890万,单价99787元/平米
八角南里1999年正规三室二厅中间层，满五年没有增值税,565万,单价48008元/平米
金地直属物业 四惠地铁站 视野开阔 诚售大两居,910万,单价75771元/平米
东直门外  二环边  力鸿花园方正两居  东向中间楼层,750万,单价82454元/平米
翠成馨园全明格局三居 满五年唯一,630万,单价49035元/平米
农光里中社区 楼龄新 中高楼层 三居室 视野采光好,476万,单价50350元/平米
带电梯 满五唯一商品房 精装修 正对小区中心花园,399万,单价59919元/平米
满五唯一，诚意出售，看房方便，88年板楼,305万,单价52678元/平米
潘家园  武圣东里 全明格局 全南向一居  诚意出售,280万,单价65960元/平米
伟业嘉园西里 满五年唯一  中间楼层  采光好,204万,单价48980元/平米
南曦大厦 3室1厅 560万,560万,单价40222元/平米
幸福家园南北两居室  满五年唯一,1130万,单价102924元/平米
带电梯南北正规三居室，把边户型客厅带窗户,485万,单价54759元/平米
华业玫瑰东方 3室2厅 1190万,1190万,单价81720元/平米
望京商圈，精装大三居可办公，全明格局,850万,单价49555元/平米
佳世苑东南北两居室业主诚心出售,315万,单价30753元/平米
保利茉莉公馆 2室1厅 473万,473万,单价55687元/平米
胜利小区中间层两居室业主诚心出售,243万,单价41582元/平米
团结湖中路南三条中间层精装修婚房通透两室一厅,435万,单价71724元/平米
满五唯一，南北通透两居室，独立小院，精装修,670万,单价55932元/平米
小黄庄前街 建研院家属楼南北通透，满五年唯一,498万,单价80570元/平米
北平里 两室一厅 满五唯一采光好,238万,单价37440元/平米
满五唯一，中间楼层，无抵押价格有空间，随时可签约。,420万,单价58668元/平米
时代国际高楼层一居室，满五年且北京名下唯一住房,515万,单价76866元/平米
建东苑    满五唯一   采光好   配套齐全,372万,单价42370元/平米
富莱茵花园 2室1厅 670万,670万,单价56030元/平米
明厨明卫 自住精装 产权已满五年 看房方便 诚意出售,750万,单价77624元/平米
红居南街 3室1厅 660万,660万,单价96042元/平米
广安门远见名苑一居有燃气商品房,455万,单价105471元/平米
新居里 2室1厅 260万,260万,单价36318元/平米
涧桥泊屋 东南北三面采光 中高楼层 大面宽 短进深,2300万,单价134582元/平米
精装南北户型 满五年唯一住房 随时看房,460万,单价41338元/平米
一梯两户，满五唯一，南北通透，楼层好，配套全,960万,单价74685元/平米
满五年唯一，两梯两户，南北通透，看房方便，业主诚售,2150万,单价111232元/平米
清源西里 三居室 南北通透 满五年唯一 不临街不把边,348万,单价43059元/平米
世华水岸南北通透，6层板楼带电梯，满五唯一,938万,单价57642元/平米
金融街2009年商品房 西派大三居 品质社区,1900万,单价94641元/平米
温泉花园精装两居室 中间楼层 南北通透 明厨明卫,285万,单价34774元/平米
马坡花园二区经典三居室，一层带花园，南北通透,480万,单价39991元/平米
广安门外南街，中楼层，全明格局，加装电梯动工中,630万,单价110083元/平米
已满五唯一，精装三居，状态好，集中供暖，人车分流,399万,单价34270元/平米
平墅四居 三卧朝南 中央空调 已做地暖 诚意出售,1280万,单价45734元/平米
格局方正  全明格局  满五唯一  业主诚售,585万,单价72063元/平米
满五唯一 南北通透 精装四居室,1255万,单价78862元/平米
满五唯一自住房 无贷款诚心出售,1085万,单价87500元/平米
全明格局，中间楼层，平层南北三居，挂东窗，无遮挡,793万,单价90785元/平米
裕龙五区花园洋房  无户口  产权清晰 诚心出售 带车位,620万,单价42206元/平米
北沙滩1号院 3室2厅 835万,835万,单价76832元/平米
东西通透带客厅可以摆放沙发电视，明厨明卫,439万,单价66195元/平米
单位分房 看房方便 诚心出售 南北通透 格局好,840万,单价107143元/平米
京贸中心 1室0厅 255万,255万,单价39875元/平米
定慧福里商品房社区 不临街 采光充足,800万,单价90335元/平米
茂华景公馆 南北通透 四居室户型方正,1350万,单价64097元/平米
百子湾家园三区  高楼层全南向两居室,520万,单价51475元/平米
70年住宅  首套首贷首付88万 看房随时,208.5万,单价39775元/平米
万年花城四期 2室2厅 650万,650万,单价66497元/平米
商品房，满五年，家庭一套，中间楼层，采光好，视野好,435万,单价45370元/平米
远洋山水 朝南两居室 两个阳台 满五年唯一 无抵押,659万,单价55753元/平米
正规一居室，满五年，业主在京唯一住房,347万,单价55132元/平米
04年小区高楼层带电梯正规一室一厅,298万,单价51584元/平米
丽泽雅园总价低的两居室，精装修，满五年唯一。,538万,单价72361元/平米
碧桂园一区3层 满五年唯一 南北两居室,279万,单价30809元/平米
红星北里 2室1厅 293万,293万,单价40414元/平米
南北两居室，精装修，满五年，通透性好。,305万,单价39199元/平米
满五年无个税，通透户型，视野好，可观河景，诚意出售,485万,单价49759元/平米
华龙美树 1室1厅 366万,366万,单价60717元/平米
晓月苑五里 1室1厅 243万,243万,单价42159元/平米
满五唯一，带电梯，可看到运河，小区门口对面就是地铁,570万,单价51398元/平米
满五年唯一，电梯直达，不临街，近地铁，楼龄新,290万,单价64131元/平米
天居园 落地阳台 采光好视野好 无个税 诚意签约,370万,单价63097元/平米
丰和园中楼层全南向两居室 业主精装自住 可拎包入住,1180万,单价126339元/平米
满5年唯一 南北通透 户型方正 通风好 采光好,560万,单价57620元/平米
南十里居10号院 2室1厅 335万,335万,单价59408元/平米
本六区南北通透两居室 两年内精装修 拎包入住,390万,单价52611元/平米
卢沟桥南里 2室1厅 270万,270万,单价42655元/平米
荣丰一期燃气大开间诚心出售，随时签约。,370万,单价96405元/平米
东南小区 电梯房 次顶层 双卧朝南 采光好 视野好,725万,单价124571元/平米
04年建成商品房低总价看房方便,430万,单价93236元/平米
西坝河北里 南北通透中间楼层带大客厅低总价2居,398万,单价71468元/平米
西斯莱东西两居室，诚心出售，保持很好,420万,单价51320元/平米
CBD传奇南向开间 满两年 装修好,366万,单价76940元/平米
景王坟 2室1厅 570万,570万,单价95159元/平米
CBD传奇南向开间 满五年 装修好 高楼层,370万,单价77781元/平米
南向一居室，满两年， 高楼层，采光好,328万,单价67172元/平米
金融街融汇 2室1厅 323万,323万,单价44651元/平米
一品嘉园 2室1厅 245万,245万,单价28165元/平米
中铁国际城 观景两居 精装修 湖景中间位置 满五唯一,670万,单价85536元/平米
鸿业兴园二区朝南向一居室 客厅卧室朝南,370万,单价55224元/平米
【精装中间楼层】【西四环0元个税】【诚心出售】！,365万,单价49932元/平米
东西通透两居室 楼龄新 满五年公房,385万,单价66038元/平米
三环里 电梯房 采光好 户型方正,330万,单价61112元/平米
中信新城两限区 2室1厅 300万,300万,单价41871元/平米
21㎡大次卧 位置安静 满五唯一 全明格局 精装异国风情,420万,单价46159元/平米
车道沟南里 全南两居室 采光无遮挡,625万,单价88653元/平米
中门寺67号院 南北向两居室 满五唯一 视野开阔,246万,单价32250元/平米
东城区 二环外 精装一居室 交通方便,338万,单价90617元/平米
业主诚意出售 满五年唯一 高层无遮挡,520万,单价84157元/平米
适合地铁刚需，中级改善的客户，品质物业，封闭社区,465万,单价54694元/平米
满五年，视野宽阔，采光充足，全南向。,363万,单价56036元/平米
小西天 文慧园全明户型两居室 随时签约,499万,单价77007元/平米
满五年业主在京一套住房 户型方正 全南向,335万,单价53091元/平米
急售！急售！ 客厅主卧朝南 满五年只此一套,435万,单价51904元/平米
融景城三期  明厨明卫  业主诚心出售,533万,单价54427元/平米
大西洋C区 67㎡西向两居 满五年唯一 精装修带电梯,520万,单价77612元/平米
夏霖园大两居，带电梯，次顶层，视野好，税费成本低,618万,单价70726元/平米
金台北街 双南向两居室高层视野开阔,400万,单价67534元/平米
建业苑 精装修两居 南北通透 老少适宜,485万,单价62792元/平米
通透 只有契税，精装，业主诚心出售,720万,单价92545元/平米
精装修 南向一居 满五年唯一  带电梯 楼层高 视野好,279万,单价55834元/平米
低楼层，家里有老人或者孩子的家庭适合居住，位置安静,490万,单价66396元/平米
太月园 东南两居 无遮挡 满5年唯一 业主诚意出售,712万,单价79938元/平米
海淀建西苑带电梯一居 满五年 全明格局 高楼层,445万,单价63041元/平米
南三环，珠江骏景两居室，房本过5年，业主唯一住房,305万,单价54002元/平米
四环内 精装修 双卧室朝南两居室 诚心出售 随时签约,375万,单价53132元/平米
西向带燃气，看小区园区，层高3.05米国贸物业,920万,单价92037元/平米
方正小厅全明户型，无遮挡电梯直达,560万,单价91504元/平米
精装电梯两居室 全明格局 诚心出售,418万,单价47259元/平米
东南三环   东南朝向两居室  采光充足,460万,单价49415元/平米
精装，明厨明卫两居室，首师大东二区,630万,单价97675元/平米
海淀产权 满五年唯一 随时签约,500万,单价80361元/平米
经理推荐 精装修拎包入住  满五唯一商品房,418万,单价52865元/平米
塔院 精装修 南北三居室 厨卫全明 客厅带窗,666万,单价80280元/平米
满五唯一 中间楼层  精装修  南北通透,252万,单价31948元/平米
自新路， 满五唯一，总价低，两居室，诚心出售,539万,单价108429元/平米
南湖东园 带餐厅户型满五年家庭一套 不临街,575万,单价59896元/平米
望京花园东区 经典两居 不临街 楼层好 采光足,630万,单价61783元/平米
金台路 东南两居 有客厅 高层无遮挡 视野好 无抵押,369万,单价62734元/平米
西三区满五唯一南北通透三居室，视野开阔采光充足,509万,单价32645元/平米
甘露园 南北通透 满五年家庭唯一住房,316万,单价55091元/平米
前门东 电梯直达 两居室 诚意出售,550万,单价96576元/平米
此房满五唯一  格局方正 采光好 精装 随时签约,309万,单价35798元/平米
小区中间位置 满五年唯一商品房 无遮挡 采光好,495万,单价57359元/平米
京通苑《阳光华苑》两居室，首套1.5契税，高楼层,485万,单价44916元/平米
天伦锦城 2室1厅 435万,435万,单价41307元/平米
天通苑商品房满5年唯一，首付138万，拎包入住，急售,350万,单价40533元/平米
全南一居室 满五年唯一 高楼层,409万,单价61486元/平米
此房房本满五年，南北通透，通风效果好。,315万,单价54879元/平米
满五年+且家庭就此一套+精装修+中间楼层+视野开阔,306万,单价68152元/平米
满五年唯一 落地窗 采光无遮挡 随时签约,320万,单价48855元/平米
"小区中间位置，出行方便，南北通透
满五唯一，",249万,单价32734元/平米
十一教工楼，太平路33号院，南北向一层带小院有钥匙,520万,单价106058元/平米
劲松三区 近地铁 一居室 朝小区花园,265万,单价67157元/平米
金地东区洋房 精装四居 全明格局 诚心出售,780万,单价57561元/平米
满五年商品房，板楼朝南两居正对小区花园 看房方便,570万,单价55987元/平米
小区中间楼，安静不临街，业主诚意出售，有钥匙。,910万,单价72080元/平米
五路居地铁亮甲店小区南北通透两居满五年公房诚意出售,475万,单价76000元/平米
婚房精装修一居室，高楼层，无遮挡，视野很好，,490万,单价81694元/平米
房子楼层好，精装修，业主自住，管理好,558万,单价92538元/平米
满五年唯一，全南向2003年商品房，视野好,1270万,单价83890元/平米
满五唯一 带阁楼 南北通透 户型方正,220万,单价30501元/平米
此房满五唯一视野好，采光充足，南北通透,238万,单价28641元/平米
温泉花园精装修，看房方便，南北通透正规两居室,287万,单价35822元/平米
东恒时代 满五年唯一仅有契税  精装一居，对小区花园,440万,单价69588元/平米
满五年唯一，商品房，全南向中高层，落地窗有地下车位,550万,单价44456元/平米
大一居 电梯房 采光很好 全南向,310万,单价42765元/平米
商品房，精装自住两居室，看房方便,410万,单价44883元/平米
正规南向两居室，满五年公房，不临街，看房方便,252万,单价59660元/平米
航天桥 精装修拎包住 高楼层 电梯直达 名额未使用,585万,单价99660元/平米
华润物业 人车分流 居住舒适 南北全明格局 居住舒适,330万,单价37117元/平米
模式口西里 2室1厅 249万,249万,单价39381元/平米
丽景长安南向两居室 精装修 交通方便,382万,单价46444元/平米
2000年6号线杨庄地铁 苹果园一区精装两居室 带电梯,298万,单价53473元/平米
满五年唯一，两梯四户，户型方正明厨明卫，带15㎡平台,338万,单价43384元/平米
全南向两居室，双阳台，精装修，无遮挡！,328万,单价52089元/平米
板楼3层 南北通透 双阳台 干湿分离 小区正中间 不临街,528万,单价71769元/平米
明厨明卫精装婚房地铁旁经典一居室,375万,单价88968元/平米
南三环 珠江骏景 正规大两居 业主诚意出售,626万,单价57029元/平米
精装修1年多时间 南北通透2居室,440万,单价75732元/平米
西坝河满五年唯一南北通透明厨明卫,505万,单价65103元/平米
东阁雅舍 3室1厅 390万,390万,单价35728元/平米
保利罗兰香谷南北通透大三居，精装修，保持良好,640万,单价49080元/平米
团结湖水碓子社区南向一层两居室，满五年诚意出售,380万,单价57822元/平米
正规2居室，看房随时！！业主诚心出售,315万,单价43605元/平米
马家堡南北一居，距地铁270米（百度地图），随时看房,350万,单价57359元/平米
东南朝向大两居，满五年业主名下一套房，高楼层双阳台,595万,单价53905元/平米
育幼胡同 1室1厅 750万,750万,单价167411元/平米
翡五联排别墅 原始户型 装修未住,1020万,单价50247元/平米
满5年，交易费用低，板楼2层出入方便。,435万,单价57754元/平米
黄村西里 3室1厅 285万,285万,单价37594元/平米
草桥恋日嘉园南北双通透三居室业主诚心出售,950万,单价67751元/平米
中楼层，视野开阔，精装修，可拎包入住。,430万,单价50299元/平米
双卧朝南 明厨明卫 拎包即住 原值高,321万,单价35287元/平米
西四环内  西府兰庭  南北通透三居室  满五年唯一,1060万,单价72773元/平米
京科苑35万精装三居，业主急售,339万,单价38554元/平米
全明格局两居室，远离高铁，产权已经满两年,460万,单价52801元/平米
车站西街15号院 2室1厅 790万,790万,单价90379元/平米
阳光100国际公寓 西南北两居 113.9平 诚意出售,850万,单价74627元/平米
南北通透，户型方正，低楼层居住舒适,510万,单价37647元/平米
原值高名流花园 南北通透 中间位置 明厨明卫 两室两厅,320万,单价34954元/平米
阳光上东 美式大三居 诚意出售 产权清晰 随时方便看,1560万,单价71104元/平米
国际花园 全明三居 高原值 婚房精装 诚心出售,337万,单价37642元/平米
北洼西里 东南3居 满5年公房 不临街,720万,单价86695元/平米
顺驰领海东门，南北通透两居室，精装诚售,545万,单价48299元/平米
复一层带固定车位，集中供暖，天然气70年产权商品房,930万,单价71699元/平米
满五年中石化央产房 南北通透 中间楼层！,760万,单价77457元/平米
永乐西区 3室1厅 310万,310万,单价46596元/平米
奥森西门 南北3居 边户全明格局  高层观景 看房方便,1300万,单价95392元/平米
塔院精装三居 小区中间 南北通透 满五年 看房方便,799万,单价97463元/平米
金雅园 3室2厅 1096万,1096万,单价80803元/平米
北二环内 安交商圈 中层三居室 南北通透 价格可谈,688万,单价111526元/平米
满五年唯一 精装修 南北通透大三居 诚心出售,609万,单价47728元/平米
南北通透四居室，精心装修，三卧室南 双主卧设计,1815万,单价95276元/平米
满五唯一，位置好，采光佳，交通方便，小区中间的位置,435万,单价51358元/平米
力度家园满五年唯一精装修两居室   一梯两户,669万,单价58561元/平米
朝阳公园高层大三居    南北通透   业主诚售,828万,单价56947元/平米
世华泊郡  南北通透三居室 次顶层 此价格随时签约,800万,单价66270元/平米
广安康馨家园观景三居，家中客厅坐望西山,448万,单价47736元/平米
七彩华园南北通透三居室，带电梯，业主诚意随时可签约,935万,单价70812元/平米
带花园三居，南北通透，6层板楼,575万,单价51335元/平米
东四环欢乐谷翠成馨园正规两居室精装修满五年唯一,515万,单价52131元/平米
橡树湾 3室1厅 1200万,1200万,单价95125元/平米
定慧福里南区商品房两居室 楼层高 视野好 无遮挡,785万,单价88801元/平米
望京  南北通透三居室  低楼层看房方便,930万,单价77475元/平米
★四环内 南北通透 两居室 低楼层 带电梯 近地铁★,362万,单价52678元/平米
百旺新城南北大三居，低楼层，精装修中间位置，不临街,770万,单价75284元/平米
电梯两居  独立小客厅 满五年央产,640万,单价106490元/平米
马家堡，角门西，双地铁，南北向两居室，随时可看,360万,单价61952元/平米
商品房 南北通透 采光好 满五年唯一 含车位,1530万,单价123328元/平米
季景沁园新出南北三居室 满五年无个税 随时签约,1130万,单价80342元/平米
南北通透大3居  户型方正 中间楼层   满五年唯一,300万,单价27076元/平米
低楼层，南北通透，满五唯一，商品房,370万,单价60468元/平米
牡丹园 华盛 采光视野无遮挡 满五 家庭名下只一套住宅,809万,单价77565元/平米
南北平层大四居，商品房满5年唯一省税，带200平露台,570万,单价25258元/平米
婚房装修，客厅朝南 主卧室朝南 不临街,338万,单价37127元/平米
满五年唯一正规一居室，户型方正,338万,单价54115元/平米
满五年唯一，诚意出售！生活便利！配套齐全！,445万,单价49550元/平米
西便门内大街97号院 满5年唯一 南北通透 采光好,550万,单价101533元/平米
双卫生间设计是此户型的点睛之笔！户型方正无浪费面积,1250万,单价129026元/平米
成交热点房源，高楼层观景通透两居室,1130万,单价88788元/平米
西城 满五年公房 明厨明卫明客厅  中间楼层三居,960万,单价121366元/平米
雍景四季 双南向 精装2居 满五唯一 高层 有产权车位,648万,单价58484元/平米
南向开间  人车分流 户型方正,185万,单价55307元/平米
滨河西里北区 2室1厅 258万,258万,单价41340元/平米
世桥国贸 170.3㎡ 平层双卫大三居室 满五年，看房方便,1280万,单价75162元/平米
满五年唯一 社区中间位置  采光好无遮挡,446万,单价39351元/平米
易构空间  装修保养好  诚意出售,455万,单价66288元/平米
运河畔合生滨江精装修南北通透三居中高楼层业主诚售,866万,单价55724元/平米
西四环青塔 2010年商品房 70年产权 诚心出售 总价低,310万,单价37916元/平米
亚运村精装两居室 楼层高 视野好,620万,单价69066元/平米
随园南向两居，双卫生间，看房方便，有钥匙。,365万,单价40957元/平米
万科高品质社区  带大飘窗  精装温馨两居室 有车位,525万,单价65980元/平米
"钢混带电梯,房子全南向,可以直接拎包入住",249万,单价41294元/平米
黄村中里 南北通透 两居室 诚心出售,205万,单价36798元/平米
公园附近满五年唯一的开间，刚需客的优选,260万,单价64693元/平米
北礼士路 电梯房 车公庄地铁2号线、6号线,615万,单价106035元/平米
满五年单位分房 三居改两居 精装修 诚心出售！,579万,单价80194元/平米
天恒乐活城标准一室一厅，满五唯一，交通方便。,195万,单价31661元/平米
和义东里三区 2室1厅 258万,258万,单价45753元/平米
西直门 精装两居 南向 无遮挡 急售,429万,单价75529元/平米
远洋山水 2室2厅 608万,608万,单价65391元/平米
花家地西里精装两居，看房方便，诚意出售,420万,单价65248元/平米
红星北里 2室1厅 339万,339万,单价32339元/平米
烟树园高楼层两居室  户型方正   采光好,730万,单价99226元/平米
上奥世纪全南向大两居，商品房，业主诚售，随时签约,425万,单价39832元/平米
精装修满两年公房，南北通透带电梯两居室,618万,单价76250元/平米
苹果园小区一区 2室1厅 299万,299万,单价53652元/平米
业主自住，低楼层，南北朝向，满五年住房,309万,单价46037元/平米
月坛南街北里 2室1厅 780万,780万,单价128926元/平米
满五唯一配合转商首付160万左右交通方便,360万,单价46042元/平米
兴都苑 南北精装两居 满五年唯一 商品房,334万,单价42717元/平米
远洋一方溪语苑  满五唯一  中间楼层  精装修,422万,单价55505元/平米
南北双通透  一梯两户  高楼层 采光视野好,630万,单价62463元/平米
有钥匙，看房方便，业主诚心出售，精装修,306万,单价35299元/平米
朝阳无限一居，花园式社区 ，满五唯一，只契税,358万,单价60058元/平米
澜庭南向两居室，装修好基本没住过，小区环境优美,355万,单价41908元/平米
西四环 长安新城 商品房 精装 看房随时,272万,单价47628元/平米
加华印象街 2室1厅 495万,495万,单价54235元/平米
胜古庄优质一居室 不临街 无遮挡,285万,单价84570元/平米
精装修，朝南一居室，无遮挡，中间层，,206万,单价70597元/平米
蓝桥驿苑 1室1厅 185万,185万,单价33340元/平米
建新南北通透户型  中间楼层 业主诚售,308万,单价54659元/平米
蝶翠双卫户型两局，楼层高，有钥匙随时看，诚心出售,845万,单价89504元/平米
后现代城A区 1室0厅 325万,325万,单价71539元/平米
明发雅苑 精装修 满两年 自住,335万,单价39251元/平米
精装修全新未入住产权清晰满五唯一海淀南北通透,740万,单价79949元/平米
南北两居室，带钥匙，方便看房，板楼中间层,420万,单价47277元/平米
嘉特美公馆 一梯三户 满五年唯一商品房 有钥匙,705万,单价83849元/平米
2008年大社区  南北通透 两居室,730万,单价84736元/平米
北京新天地三期 1室1厅 374万,374万,单价54735元/平米
西八间北里 2室1厅 430万,430万,单价62346元/平米
新华大街 玉带河西街 南北向两居室 低总价,260万,单价42277元/平米
电梯洋房  正规一居室 满两年 中楼层,259万,单价45013元/平米
桃园小区 两居室 南北通透  低楼层,260万,单价31504元/平米
北二环文慧园2004年商品房精装一居,420万,单价72389元/平米
南北通透 精装修 中间楼层  业主诚售 随时可看,435万,单价47677元/平米
五区中间楼，满两年，原值374万，诚心出售，随时看房,471万,单价63960元/平米
中间楼层，业主诚心出售，钥匙房源，,640万,单价65240元/平米
学院南路72号院 带电梯 朝南向 带客厅 正规两居室,579万,单价92640元/平米
望园东里 一居室，高楼层，视野好,380万,单价57316元/平米
安定门 精装修 正规南向一室一厅 中间楼层带电梯,550万,单价101947元/平米
国际花园4号院 高楼层无遮挡 业主诚心出售,300万,单价39678元/平米
小两居，首付82万，低总价！看房方便！,234万,单价38890元/平米
温莎大道 1室1厅 715万,715万,单价78572元/平米
富强西里 2室1厅 210万,210万,单价37568元/平米
西直门  长河湾 年轻人梦想中家,636万,单价88236元/平米
中关村东路 2室1厅 530万,530万,单价92174元/平米
满五年 不临街 无遮挡 落地飘窗,670万,单价66186元/平米
此房满二年 中间楼层 全南向 看房预约。,489万,单价73601元/平米
精装修电梯房，两居室，推荐婚房，小户型,355万,单价44243元/平米
苹果园林业楼小区正规两室一厅，看房随时,269万,单价45547元/平米
2002年南向正规两居室，楼层好，,310万,单价37198元/平米
金融街融汇 1室1厅 254万,254万,单价49283元/平米
满五年的公房，南北通透，随时可以看房,719万,单价113461元/平米
海淀一居室 看房有钥匙 中间楼层,283万,单价61124元/平米
西四环2010年商品房住宅 高楼层大视野直望西山,375万,单价43681元/平米
静馨嘉苑 2室1厅 459万,459万,单价49102元/平米
南三环草桥，6层板楼带电梯，南被通透，采光好,380万,单价66867元/平米
京贸国际城西区 2室1厅 399万,399万,单价54606元/平米
东南朝向大两居，把边户型楼层高，视野好,550万,单价57895元/平米
五道口东王庄小区、电梯房两居、满五年、诚意出售！,510万,单价87329元/平米
安华西里小区 南北通透两居  中楼层  业主诚心卖,463万,单价80846元/平米
店长推荐 业主诚心出售价格可以谈,299万,单价42575元/平米
杨庄小区带电梯三居 中间层 不临街 看房方便,365万,单价42576元/平米
西直门明光桥天兆家园两居室采光好视野好,1000万,单价99355元/平米
葡东小区 2室1厅 259万,259万,单价32051元/平米
满五年且家庭名下唯一住房，婚房装修,418万,单价74550元/平米
业主自住 精装修 采光好 无遮挡 满五唯一 可转商品房,263万,单价47749元/平米
润枫东区 中间楼层  无抵押 南北通透三居,1360万,单价71112元/平米
厂洼小区 2室1厅 508万,508万,单价82872元/平米
总价低 低楼层 东西通透两居 空间利用率高,440万,单价93677元/平米
和义西里三区 2室1厅 348万,348万,单价43230元/平米
精装修 东向 户型方正 带电梯 中间楼层一居室,350万,单价48217元/平米
南北通透  中间层三居  前后无遮挡,480万,单价55646元/平米
兴城丽源 南北通透 二居二厅一卫电梯房 满五年 诚售,373万,单价44618元/平米
左家庄 南北通透 正规小三居  方正户型,399万,单价67479元/平米
满五年唯一 高楼层 正规一居室厅室分开 采光好,240万,单价40343元/平米
美景三期 满五年 唯一诚意出售单价低,670万,单价67711元/平米
小区环境好，交通便利，业主诚售,1140万,单价104780元/平米
温泉东里，南北通透两居，电梯房,399万,单价39420元/平米
南北通透 满五年公房  户型好 中间层,540万,单价78148元/平米
结婚购房， 正规一居，满五年唯一，70年大产权,299万,单价47243元/平米
马坡一居室 适合刚需 满五年唯一 精装修 看房方便,226万,单价34748元/平米
二环外，南向全明，格局方正，满五年公房税费少。,365万,单价62726元/平米
北二环 西直门 满五唯一 精装修 带电梯 随时签约,560万,单价77370元/平米
天堂河东区 2007年房龄 一梯两户 南北通透,268万,单价26957元/平米
融科橄榄城三期 南北通透三居 双名卫设计 随时看房,1280万,单价92279元/平米
满屋年家庭就一套住房，精装修可拎包入住,479万,单价71664元/平米
玉桥东里 2室1厅 275万,275万,单价40657元/平米
满5年唯一  全南大三居  高层视野开阔  无遮挡,930万,单价65236元/平米
大兴黄村金色漫香郡 花园洋房，低楼层，电梯房,288万,单价34075元/平米
满五年唯一商品房 南北通透 看房方便,385万,单价64544元/平米
15年小区南北通透 全明户型 电梯入户,590万,单价63957元/平米
定慧寺西钓鱼台优质三居室满五年唯一商品房南北通透,522万,单价76992元/平米
清缘里中区，南北朝向两居室，满五年唯一，看房方便,458万,单价66979元/平米
三环新城6号院 2室1厅 545万,545万,单价55045元/平米
满五年不唯一公房，91年，楼层低适合老人带孩子,710万,单价88773元/平米
房子满五年，家庭名下唯一住房，房子楼龄新，看房方便,750万,单价153375元/平米
重聚园 精品中高楼层 西南三居 业主诚心出售,540万,单价49167元/平米
双锦园 西南向一居室 2000年 满五年,280万,单价56350元/平米
